"","datetime","do.obs","wtr","do_eq","o2_sat","par","wspeed","yday","year","PAR_Kd","par_int"
"1",2021-07-01 00:00:00,8.61158333333333,14.4711666666667,8.11081853469626,1.06174035289964,0,0,182,2021,0.07549272,0
"2",2021-07-01 01:00:00,8.60758333333333,14.3921666666667,8.12497483646189,1.05939815280482,0,0,182,2021,0.07549272,0
"3",2021-07-01 02:00:00,8.52308333333333,14.6094166666667,8.08614797730241,1.05403504329347,0,0,182,2021,0.07549272,0
"4",2021-07-01 03:00:00,8.45075,14.9786666666667,8.02089139213442,1.05359237357173,0,0,182,2021,0.07549272,0
"5",2021-07-01 04:00:00,8.17058333333333,15.8640833333333,7.86808864248277,1.03844576549599,15.855,0,182,2021,0.07549272,14.1877951246715
"6",2021-07-01 05:00:00,8.11375,16.11325,7.82599811425731,1.03676871391247,86.674,0,182,2021,0.07549272,77.5599466815377
"7",2021-07-01 06:00:00,8.05941666666667,16.3269166666667,7.79021505016024,1.03455637806826,516.873,0,182,2021,0.07549272,462.522121064291
"8",2021-07-01 07:00:00,7.932,16.80925,7.71047458815011,1.02873045093623,1127.819,0,182,2021,0.07549272,1009.2251598683
"9",2021-07-01 08:00:00,7.91333333333333,17.27775,7.63436799117437,1.03654072511064,1546.391,0,182,2021,0.07549272,1383.78295115963
"10",2021-07-01 09:00:00,8.143,16.494,7.76243092035341,1.04902704881389,1858.206,0,182,2021,0.07549272,1662.8095886115
"11",2021-07-01 10:00:00,8.51758333333333,15.06475,8.0058096447267,1.06392528817416,2054.808,0,182,2021,0.07549272,1838.73824815743
"12",2021-07-01 11:00:00,8.52116666666667,15.0714166666667,8.00464370643647,1.06452791394261,2133.026,0,182,2021,0.07549272,1908.73137077247
"13",2021-07-01 12:00:00,8.49133333333333,15.2231666666667,7.97818367972403,1.06431910748225,2105.544,0,182,2021,0.07549272,1884.13919255638
"14",2021-07-01 13:00:00,8.55733333333333,15.2124166666667,7.98005310499338,1.07234039933628,1967.077,0,182,2021,0.07549272,1760.23244846758
"15",2021-07-01 14:00:00,8.50675,15.1981666666667,7.98253235474785,1.06567059448752,1715.511,0,182,2021,0.07549272,1535.11943248946
"16",2021-07-01 15:00:00,8.51341666666667,15.2919166666667,7.96624604014973,1.06868613193206,1374.1,0,182,2021,0.07549272,1229.60891080486
"17",2021-07-01 16:00:00,8.45633333333333,15.6204166666667,7.90963212828582,1.0691184110943,1004.15,0,182,2021,0.07549272,898.560357895863
"18",2021-07-01 17:00:00,8.35616666666667,15.95175,7.85323476037743,1.06404136914724,528.5,0,182,2021,0.07549272,472.926504155717
