"","datetime","do.obs","wtr","do_eq","o2_sat","par","wspeed","yday","year","PAR_Kd","par_int"
"481",2021-07-01 00:00:00,7.826,18.94525,7.37376159594393,1.06133076017874,0,0,182,2021,0.07549272,0
"484",2021-07-01 01:00:00,7.75666666666667,18.9803333333333,7.36844424713313,1.05268716251529,0,0,182,2021,0.07549272,0
"487",2021-07-01 02:00:00,8.091,17.9091666666667,7.53383678811255,1.07395477597372,0,0,182,2021,0.07549272,0
"490",2021-07-01 03:00:00,8.4355,16.9358333333333,7.68978203052682,1.09697517647611,0,0,182,2021,0.07549272,0
"493",2021-07-01 04:00:00,8.395,16.7181666666667,7.72542385490186,1.08667176813519,0,0,182,2021,0.07549272,0
"496",2021-07-01 05:00:00,8.311,16.4808333333333,7.76461414133859,1.07036870715216,10.9223333333333,0,182,2021,0.07549272,9.77381441921815
"499",2021-07-01 06:00:00,8.16741666666667,16.3225,7.79095183680776,1.04832077488662,46.3318333333333,0,182,2021,0.07549272,41.4598901976512
"502",2021-07-01 07:00:00,8.3705,17.0039166666667,7.67869228806181,1.09009446999377,152.031833333333,0,182,2021,0.07549272,136.045191028795
"505",2021-07-01 08:00:00,8.09991666666667,18.2450833333333,7.48128409664314,1.08269069347348,727.920666666667,0.0449219933262507,182,2021,0.07549272,651.377438390475
"508",2021-07-01 09:00:00,7.84233333333333,18.6531666666667,7.41828922462431,1.05716198113461,1352.07916666667,0.202148969968128,182,2021,0.07549272,1209.90363979838
"511",2021-07-01 10:00:00,7.61233333333333,19.2195,7.33237095703952,1.03818169838025,1705.64566666667,0.29199295662063,182,2021,0.07549272,1526.29147107855
"514",2021-07-01 11:00:00,7.59225,19.53575,7.2851365781696,1.0421561653011,1886.92116666667,0.426758936599382,182,2021,0.07549272,1688.50526200396
"517",2021-07-01 12:00:00,7.60108333333333,19.7948333333333,7.2468295942373,1.04888396152957,1968.31016666667,0.33691494994688,182,2021,0.07549272,1761.33594364394
"520",2021-07-01 13:00:00,7.6325,19.9219166666667,7.22816607362752,1.05593866027065,1922.50683333333,0.33691494994688,182,2021,0.07549272,1720.34897995045
"523",2021-07-01 14:00:00,8.03683333333333,19.3785,7.30855731951089,1.09964702772163,1765.7185,0.471680929925633,182,2021,0.07549272,1580.04745038425
"526",2021-07-01 15:00:00,8.34716666666667,19.3741666666667,7.30920456059573,1.14200753275762,1507.282,0.404297939936257,182,2021,0.07549272,1348.78638985211
"529",2021-07-01 16:00:00,8.15516666666667,19.2720833333333,7.32448069496249,1.11341226856881,1028.28483333333,0.560526650059773,182,2021,0.07549272,920.157334918974
